Company,Type,Inches,RAM,Processor Name,Osys,MEMORY,TouchScreen,Graphic Card,KGs,X_RES,Y_RES,Price
DELL,2 in 1 Laptop,14 inches,8 GB,Intel Core i3 11th Gen,Windows 10,512 GB SSD,No,No,1.56,1920,1080,53990
ASUS,Thin and Light Laptop,15.6 Inch,8 GB,Intel Core i3 12th Gen,Windows 11 ,512 GB SSD,No,No,1.7,1920,1080,40990
HP,Thin and Light Laptop,15.6 inch,8 GB,Intel Core i5 12th Gen,Windows 11 ,512 GB SSD,No,No,1.69,1920,1080,54990
HP,Thin and Light Laptop,15.6 Inch,8 GB,AMD Ryzen 3 Dual Core,Windows 11 ,512 GB SSD,No,No,1.69,1920,1080,34990
Avita,Laptop,14.1 Inch,4 GB,Intel Celeron Dual Core,Windows 11 ,128 GB SSD,No,No,,1920,1080,16490
Acer,Thin and Light Laptop,15.6 Inch,8 GB,Intel Core i3 12th Gen,Windows 11 ,256 GB SSD,No,No,1.7,1920,1080,32990
HP,Gaming Laptop,16.1 Inch,16 GB,Intel Core i5 11th Gen,Windows 11 ,512 GB SSD,No,Yes,2.48,1920,1080,57990
MSI,Gaming,15.6 Inch,8 GB,Intel Core i5 11th Gen,Windows 11 ,512 GB SSD,No,Yes,1.86,1920,1080,52990
Avita,Laptop,14.1 Inch,4 GB,Intel Celeron Dual Core,Windows 11 ,128 GB SSD,No,No,,1920,1080,16490
MSI,Gaming Laptop,15.6 inch,16 GB,AMD Ryzen 7 Octa Core,Windows 11 ,512 GB SSD,No,Yes,2.35,1920,1080,59990
HP,Thin and Light Laptop,14 inch,16 GB,AMD Ryzen 5 Hexa Core,Windows 11 ,512 GB SSD,No,No,1.46,1920,1080,47990
MSI,Thin and Light Laptop,14 Inch,16 GB,AMD Ryzen 5 Hexa Core,Windows 11 ,512 GB SSD,No,No,1.4,1920,1080,45990
Acer,Thin and Light Laptop,15.6 Inch,8 GB,AMD Ryzen 5 Quad Core,Windows 11 ,512 GB SSD,No,No,1.78,1920,1080,34990
ASUS,Thin and Light Laptop,15.6 Inch,8 GB,Intel Core i5 11th Gen,Windows 11 ,512 GB SSD,No,No,1.8,1920,1080,47990
HP,Gaming Laptop,15.6 Inch,8 GB,AMD Ryzen 5 Hexa Core,Windows 11 ,512 GB SSD,No,Yes,2.37,1920,1080,54990
ASUS,Thin and Light Laptop,14 inch,4 GB,Intel Celeron Dual Core,Windows 11 ,256 GB SSD,No,No,1.6,1366,768,25990
SAMSUNG,Thin and Light Laptop,14 Inch,4 GB,Qualcomm Snapdragon 7c Gen 2,Windows 11 ,128 GB EMMC Storage,No,No,1.38,1920,1080,29990
HP,Notebook,14 inch,8 GB,AMD Athlon Dual Core,Windows 11 ,1 TB HDD,No,No,,1366,768,23490
ASUS,Thin and Light Laptop,15.6 Inch,16 GB,Intel Core i3 11th Gen,Windows 11 ,512 GB SSD,No,No,1.8,1920,1080,42990
Lenovo,Thin and Light Laptop,15.6 inch,16 GB,Intel Core i5 12th Gen,Windows 11 ,512 GB SSD,No,No,1.85,1920,1080,67190
ASUS,Thin and Light Laptop,14 Inch,8 GB,Intel Core i5 12th Gen,Windows 11 ,512 GB SSD,No,No,1.5,1920,1200,65990
HP,Thin and Light Laptop,14 inch,8 GB,Intel Core i3 11th Gen,Windows 11 ,512 GB SSD,No,No,1.41,1920,1080,38990
DELL,Thin and Light Laptop,15.6 Inch,8 GB,Intel Core i3 11th Gen,Windows 11 ,512 GB SSD,No,No,1.65,1920,1080,38590
HP,Thin and Light Laptop,15.6 Inch,8 GB,AMD Ryzen 3 Dual Core,Windows 11 ,512 GB SSD,No,No,1.69,1920,1080,34990
Avita,Laptop,14.1 Inch,4 GB,Intel Celeron Dual Core,Windows 11 ,128 GB SSD,No,No,,1920,1080,16490
Acer,Thin and Light Laptop,15.6 inch,8 GB,Intel Core i3 12th Gen,Windows 11 ,512 GB SSD,No,No,1.7,1920,1080,36990
Acer,Notebook,15.6 Inch,8 GB,AMD Ryzen 5 Quad Core,Windows 11 ,512 GB SSD,No,No,1.78,1920,1080,36990
ASUS,Thin and Light Laptop,15.6 Inch,8 GB,Intel Core i3 11th Gen,Windows 11 ,256 GB SSD,No,No,1.8,1920,1080,34990
ASUS,Thin and Light Laptop,15.6 Inch,8 GB,AMD Ryzen 3 Quad Core,Windows 11 ,512 GB SSD,No,No,1.63,1920,1080,38990
DELL,Business Laptop,14 Inch,8 GB,Intel Core i3 11th Gen,DOS,"512 GB SSD,16 GB EMMC Storage",No,No,1.52,1366,768,34490
ASUS,Thin and Light Laptop,15.6 Inch,8 GB,Intel Celeron Dual Core,Windows 11 ,256 GB SSD,No,No,1.57,1920,1080,27990
Primebook,Thin and Light Laptop,11.6 Inch,4 GB,MediaTek MediaTek MT8788,Prime OS,64 GB EMMC Storage,No,No,1.065,1366,768,13990
HP,Thin and Light Laptop,15.6 Inch,8 GB,Intel Core i5 11th Gen,Windows 11 ,512 GB SSD,No,No,1.69,1920,1080,51990
Avita,Laptop,14.1 Inch,4 GB,Intel Celeron Dual Core,Windows 11 ,128 GB SSD,No,No,,1920,1080,16490
ASUS,Thin and Light Laptop,15.6 Inch,8 GB,Intel Core i5 11th Gen,Windows 11 ,512 GB SSD,No,No,1.8,1920,1080,47990
Infinix,Thin and Light Laptop,15.6 inch,8 GB,Intel Core i3 10th Gen,Windows 11 ,256 GB SSD,No,No,1.76,1920,1080,24990
Acer,Thin and Light Laptop,14 Inch,8 GB,Intel Core i5 12th Gen,Windows 11 ,512 GB SSD,No,No,1.25,2560,1440,59990
HP,Gaming Laptop,15.6 Inch,8 GB,AMD Ryzen 5 Hexa Core,Windows 11 ,512 GB SSD,No,Yes,2.37,1920,1080,54990
ASUS,Thin and Light Laptop,14 inch,4 GB,Intel Celeron Dual Core,Windows 11 ,256 GB SSD,No,No,1.6,1366,768,25990
HP,Laptop,14 inch,8 GB,AMD Athlon Dual Core,Windows 11 ,1 TB HDD,No,No,1.47,1366,768,23490
HP,Thin and Light Laptop,15.6 Inch,8 GB,Intel Core i5 12th Gen,Windows 11 ,512 GB SSD,No,No,1.69,1920,1080,54990
Lenovo,Thin and Light Laptop,35.56 cm,8 GB,Intel Core i3 12th Gen,Windows 11 ,512 GB SSD,No,No,1.43,1920,1080,38990
HP,Thin and Light Laptop,14 Inch,8 GB,Intel Core i3 11th Gen,Windows 11 ,512 GB SSD,No,No,1.46,1920,1080,39990
HP,Notebook,14 inch,8 GB,AMD Athlon Dual Core,Windows 11 ,1 TB HDD,No,No,,1366,768,23490
HP,Thin and Light Laptop,15.6 Inch,8 GB,AMD Ryzen 3 Dual Core,Windows 11 ,512 GB SSD,No,No,1.69,1920,1080,34990
