,Product,Price,specifications
10,"ASUS Vivobook 15 Core i5 11th Gen 1135G7 - (8 GB/512 GB SSD/Windows 11 Home) X515EA-EJ522WS Thin and Light Laptop  (15.6 Inch, Transparent Silver, 1.80 kg, With MS Office)",47990," &Laptop, Battery, Adapter, Cables and User Manuals&X515EA-EJ522WS&90NB0TY2-M00JP0&X515EA-EJ522WS&Vivobook 15&Transparent Silver&Thin and Light Laptop&Processing & Multitasking&2 Cell&Yes&Intel&Core i5&11th Gen&Yes&512 GB&8 GB&DDR4&1135G7&2.4 GHz upto max turbo frequency at 4.2 Ghz&NA&8&Intel Integrated Iris Xe&4&NA&64 bit&Windows 11 Home&Windows 11 Home&Yes&1 x USB 3.2 Gen 1 Type-A, 1 x USB 3.2 Gen 1 Type-C, 2 x USB 2.0 Type-A&1 x HDMI 1.4 port&PCIe NVMe M.2&No&39.62 cm (15.6 Inch)&1920 x 1080 Pixel&Full HD 16:9 Aspect ratio, LCD Backlit, 200nits, 45% NTSC Color Gamut, Anti-glare display&Built-in Speaker&Built-in Microphone&Wi-Fi 5(802.11ac) (Dual band) 1x1&v4.1&360 x 235 x 19.9 mm&1.80 kg&Not Available&VGA camera&Yes&Chiclet Keyboard with Num-key&No&37 WHrs Li-ion Battery&1 Year Onsite Warranty&Onsite&Manufacturing Defects&Physical Damage&1 Year"
11,"ASUS VivoBook 14 (2021) Celeron Dual Core N4020 - (4 GB/256 GB SSD/Windows 11 Home) X415MA-BV011W Thin and Light Laptop  (14 inch, Transparent Silver, 1.60 kg)",25990," &Laptop, Power Adaptor, User Guide, Warranty Documents&X415MA-BV011W&90NB0TG1-M002R0&X415MA-BV011W&VivoBook 14 (2021)&Transparent Silver&Thin and Light Laptop&Processing & Multitasking&33W AC Adapter&2 cell&No&Intel&Celeron Dual Core&Yes&256 GB&4 GB&DDR4&N4020&1.1 GHz upto max turbo frequency at 2.8 Ghz&NA&4&Intel Integrated UHD&2&NA&64 bit&Windows 11 Home&Windows 11 Home&Yes&1 x USB 3.2 Gen 1 Type-A, 1 x USB 3.2 Gen 1 Type-C, 2 x USB 2.0 Type-A&1 x HDMI 1.4&No&35.56 cm (14 inch)&1366 x 768 Pixel&LCD&Built-in Speaker&Built-in Microphone&SonicMaster&Wi-Fi 5(802.11ac)&v4.1&325.4 x 216 x 19.9 mm&1.60 kg&Not Available&VGA camera&Yes&Chiclet Keyboard&No&1 Year Onsite Warranty&Onsite&Manufacturing Defects&Physical Damage&1 Year"
12,"Lenovo V15 Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) V15 G2 ALC Thin and Light Laptop  (15.6 Inch, Black, 1.7 Kg)",34604," &Laptop, User manual, Adapter&V15 G2 ALC&82KDA022IH&V15 G2 ALC&V15&Black&Thin and Light Laptop&Processing & Multitasking&Upto 7.5 Hours&2 Cell&No&AMD&Ryzen 5 Hexa Core&Yes&512 GB&8 GB&DDR4&5500U&2.1 GHz with Turbo Boost Upto 4.0 GHz&16&AMD Radeon AMD&512 GB&Windows 11 Home&1 x USB 2.0, 1 x USB 3.2 Gen 1, 1 x USB-C 3.2 Gen 1 (support data transfer only)&1 x HDMI 1.4b&No&39.62 cm (15.6 Inch)&1920 x 1080 Pixel&Full HD Anti-glare Display&Built-in Speakers&Yes&802.11ac 2x2 Wi-Fi&v5.1&1.7 Kg&Not Available&1MP HD with dual Array Microphone, with Thinkshutter&No&No&1 Year Onsite Warranty&Onsite&Manufacturing Defects&Physical Damage&1 Year"
13,"HP Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fq5007TU Thin and Light Laptop  (15.6 Inch, Natural Silver, 1.69 kg, With MS Office)",41990," &Laptop, Battery, Adapter, Cables, User Manuals&15s-fq5007TU&67V50PA#ACJ&15s-fq5007TU&Intel&Natural Silver&Thin and Light Laptop&Processing & Multitasking&3 Cell&Yes&Intel&Core i3&12th Gen&Yes&512 GB&8 GB&DDR4&1215U&Base Frequency 3.30 GHz, Max Turbo Boost Frequency Up to 4.40 GHz&16 GB&3200 MHz&12 MB&Intel Integrated UHD&10&64 bit&Windows 11 Home&Windows 11 Home&64 bit&Yes&1 x SuperSpeed USB Type-C 5 Gbps Signaling Rate, 2 x SuperSpeed USB Type-A 5 Gbps Signaling Rate&1 x HDMI 1.4b&1 x Multi Format SD Media Card Reader (Support SD/SDHC/SDxC, and Supports Mini Versions of SD/MS Adapters)&PCIe NVMe M.2&No&39.62 cm (15.6 Inch)&1920 x 1080 Pixels&Full HD, Micro Edge, Anti-Glare, UWVA, Brightness: 250 nits, 141 PPI, Color Gamut: 45% NTSC&Built-in Dual Speakers&Integrated Dual Array Digital Microphones&Realtek RTL8822CE 802.11a/b/g/n/ac (2x2)&v5.0&358 x 242 x 17.9 mm&1.69 kg&Not Available&HP True Vision 720p HD Camera with Temporal Noise Reduction&No&Energy Star Certified, EPEAT Silver Registered&Full Size, Backlit Natural Silver Keyboard with Numeric Keypad&Yes&HP Imagepad with Multi Touch Gesture Support&Microsoft Office Home & Student 2021&3 Cell, 41 Wh Li-ion, Support Battery Fast Charge&1 Year Onsite Warranty&Onsite&Manufacturing Defects&Physical Damage&1 Year"
14,"Lenovo V15 Ryzen 3 Hexa Core 5300U - (8 GB/512 GB SSD/Windows 11 Home) V15 G2 ALC Thin and Light Laptop  (15.6 Inch, Iron Grey, 1.7 Kg)",31499," &Laptop, User manual, Adapter&V15 G2 ALC&82KDA01BIH&V15 G2 ALC&V15&Iron Grey&Thin and Light Laptop&Processing & Multitasking&Upto 7.5 Hours&2 Cell&No&AMD&Ryzen 3 Hexa Core&Yes&512 GB&8 GB&DDR4&5300U&2.6 GHz with Turbo Boost Upto 3.8 GHz&AMD Radeon AMD&Windows 11 Home&1 x USB 2.0, 1 x USB 3.2 Gen 1, 1 x USB-C 3.2 Gen 1 (support data transfer only)&1 x HDMI 1.4b&No&39.62 cm (15.6 Inch)&1920 x 1080 Pixel&Full HD Anti-glare Display&Built-in Speakers&Yes&802.11ac 2x2 Wi-Fi&v5.1&1.7 Kg&Not Available&1MP HD with dual Array Microphone, with Thinkshutter&No&No&1 Year Onsite Warranty&Onsite&Manufacturing Defects&Physical Damage&1 Year"
15,"HP (2023) Intel Core i5 11th Gen 1155G7 - (16 GB/512 GB SSD/Windows 11 Home) 15s-fr4001TU Thin and Light Laptop  (15.6 Inch, Natural Silver, 1.69 Kg, With MS Office)",54990," &Laptop, Power Adaptor, User Guide, Warranty Documents&15s-fr4001TU&7J3Z3PA#ACJ&15s-fr4001TU&(2023) Intel&Natural Silver&Thin and Light Laptop&Processing & Multitasking&3 Cell&Yes&Intel&Core i5&11th Gen&Yes&512 GB&16 GB&DDR4&1155G7&Upto 4.50GHz&8 MB&Intel Integrated Integrated&4&64 bit&Windows 11 Home&Windows 11 Home&64 bit&Yes&1 x USB Type-C 5Gbps signaling rate, 2 x USB Type-A 5Gbps signaling rate&1 x HDMI 1.4b&No&39.62 cm (15.6 Inch)&1920 x 1080 Pixel&FHD, micro-edge, anti-glare, Brightness: 250 nits, 141 ppi, Color Gamut: 45%NTSC&Built-in Dual Speakers&Built-in Dual Array Digital Microphones&Realtek RTL8822CE 802.11a/b/g/n/ac (2x2)&v5.0&358 x 242 x 17.9&1.69 Kg&Not Available&HP True Vision 720p HD camera&Full-size, backlit natural silver keyboard with numeric keypad&Yes&41 Wh Li-ion Baery&1 Year Onsite Warranty&Onsite&Manufacturing Defects&Physical Damage&1 Year"
16,"HP 247 G8 Athlon Dual Core - (8 GB/1 TB HDD/Windows 11 Home) 247 G8 Notebook Notebook  (14 inch, Black)",23490," &Laptop, Battery, Power Adaptor, User Guide, Warranty Documents&247 G8 Notebook&67U77PA&247 G8 Notebook&247 G8&Black&Notebook&Everyday Use&4 HR&No&AMD&Athlon Dual Core&No&8 GB&DDR4&1 TB&AMD Radeon&Windows 11 Home&Windows 11 Home&32&No&35.56 cm (14 inch)&?1366 x 768 pixel&v5.0&No&Not Available&Windows&1 Year Onsite Warranty&Onsite&Manufacturing Defects&Physical Damage"
17,"Avita SATUS S111 Celeron Dual Core N4020 - (4 GB/128 GB SSD/Windows 11 Home) NU14A1INC43PN-SG Laptop  (14.1 Inch, Space Grey)",16490," &Laptop, Power Adaptor, User Guide, Warranty Documents&NU14A1INC43PN-SG&NU14A1INC43PN-SG&SATUS ULTIMUS S111&SATUS S111&Space Grey&Laptop&Processing & Multitasking&Upto 8 Hours&No&Intel&Celeron Dual Core&Yes&128 GB&4 GB&DDR4&N4020&Intel Integrated UHD Graphics&64 bit&Windows 11 Home&Windows 11 Home&64&Yes&1 x USB 2.0, 1 x USB 3.0&1 x Mini HDMI C Type&No&35.81 cm (14.1 Inch)&1920 x 1080 Pixels&FHD, IPS&Yes&Yes&802.11a/b/g/n&v4.0&Not Available&2 MP&No&1 Year Domestic Warranty&CARRY IN&Manufacturing Defects and Battery & Adaptor warranty up to 6 months&Physical Damage"
18,"Infinix INBook Y1 Plus Intel Core i3 10th Gen 1005G1 - (8 GB/512 GB SSD/Windows 11 Home) XL28 Thin and Light Laptop  (15.6 inch, Blue, 1.76 kg)",26990," &Laptop, Power Adaptor, User Guide, Warranty Documents&XL28&71008301203&INBook Y1 Plus&INBook Y1 Plus Intel&Blue&Thin and Light Laptop&Everyday Use, Performance, Processing & Multitasking&Not Available&65W Type C Adapter&No&Intel&Core i3&10th Gen&Yes&512 GB&8 GB&LPDDR4X&1005G1&Intel Core i3&Base Frequency 1.2 GHz, Max Turbo Frequency at 3.4 GHz&4MB&Intel Integrated UHD&2&64 bit&Windows 11 Home&Windows 11&No&No&Yes&No&No&2 x USB 3.0&1 x HDMI 1.4&Yes&NVMe PCIE 3.0 SSD&No&39.62 cm (15.6 inch)&1920 x 1080 Pixels&Full HD, Anti Glare (250 nits Peak Brightness, NTSC 60%)&DTS Audio Processing&2 x D- Mic&Intel ISST&DTS Audio Processing&60 Hz&Wi-Fi 5 (802.11ac)&v5.1&Not Applicable&No&358.5 x 235.7 x 18.2 mm&1.76 kg&Not Available&2 MP FHD Webcam&No&No&Backlit Keyboard&Yes&Multi-Touch AG Glass Touchpad&No&No&1 Year Onsite Warranty&Onsite&Manufacturing Defects&Physical Damage&1 Year"
19,"Lenovo Lenovo V15 Celeron Dual Core 4th Gen - (8 GB/256 GB SSD/Windows 11 Home) 82QYA00MIN Laptop  (15.6 inch, Iron Grey)",24490," &Laptop, battery, adapter, cables and user manuals&82QYA00MIN&82QYA00MIN&Lenovo V15&Lenovo V15&Iron Grey&Laptop&Everyday Use, Travel & Business, Learning, Performance&UPTO 6 HRS&No&Intel&Celeron Dual Core&4th Gen&Yes&256 GB&8 GB&DDR4&2&NA&2400 MHz&Intel Integrated Intel UHD Graphics&NA&64 bit&Windows 11 Home&Yes&Yes&2&1&No&39.62 cm (15.6 inch)&1920 x 1080 pixel&Full HD&Yes&Yes&Yes&No&Not Available&Yes&Full Size Keyboard&1 Years&Carry-in&MANUFACTURING DEFECT&Any kind of physical damage including electrical surge. No software coverage in warranty&1 Year"
